location_name,iso_a3,highBP,highLDL,diabetes,smoking,highBMI,unhealthyDiet,lowPhysicalActivity,,,,,,,,,
Paraguay,PRY,78.52242347,37.86657878,32.76461307,23.41604304,33.84406423,48.63245093,3.97563287,,,,,,,,,
Peru,PER,41.80365170,21.69430376,13.45425771,3.38564981,18.20043040,30.09470486,2.95540028,,,,,,,,,
Philippines,PHL,95.89531229,46.23180133,30.72661090,36.05698128,35.76985868,72.16608812,1.72281257,,,,,,,,,
Poland,POL,227.96567840,121.28391150,115.26547780,66.56220931,100.31793160,182.25022970,19.26820940,,,,,,,,,
Portugal,PRT,159.21285100,81.00784581,90.69432892,25.34274582,45.66214565,90.75280239,20.69475278,,,,,,,,,
Puerto Rico,PRI,132.31317740,62.72259418,62.89455638,21.41205930,63.42371866,76.50228121,15.69574952,,,,,,,,,
Qatar,QAT,22.47091199,15.17342785,12.53097052,7.42053380,18.44686790,14.28818562,3.32944066,,,,,,,,,
Republic of Korea,KOR,60.84303528,29.06866924,29.93255328,17.69869614,15.05343091,50.10233784,5.79454521,,,,,,,,,
Republic of Moldova,MDA,402.21984180,175.74498140,101.40640630,90.15170336,158.62401270,255.72124980,24.53751950,,,,,,,,,
Romania,ROU,479.65704880,207.52676420,110.54798770,90.20154046,177.96507380,319.96775280,30.69126326,,,,,,,,,
Russian Federation,RUS,375.12479390,226.43312270,111.79316010,116.06136980,159.42602600,268.08992920,26.01583155,,,,,,,,,
Rwanda,RWA,50.95652443,7.31582241,14.84913597,11.97682907,14.67926381,23.79121766,0.60528425,,,,,,,,,
Saint Kitts and Nevis,KNA,145.58424030,49.95734364,73.87646606,18.26370176,68.74340529,81.21267815,11.37695126,,,,,,,,,
Saint Lucia,LCA,133.73988410,35.11379030,63.11399939,20.06500172,51.82376577,66.21875834,10.93087765,,,,,,,,,
Saint Vincent and the Grenadines,VCT,166.67874070,57.35302113,86.54708762,22.76479370,70.75371526,90.21987683,16.19668880,,,,,,,,,
Samoa,WSM,133.02153910,57.78238266,82.25532153,58.55944472,77.77881812,92.91825440,10.27897292,,,,,,,,,
San Marino,SMR,147.43654270,66.41662165,55.50395089,24.83962878,42.46303624,75.11176616,15.01394224,,,,,,,,,
Sao Tome and Principe,STP,79.95447939,25.28762056,28.03001164,6.32726762,29.84863988,39.94242567,2.91151808,,,,,,,,,
Saudi Arabia,SAU,69.67006331,50.16796562,35.90627615,22.96037363,56.70888934,53.31407650,14.84666679,,,,,,,,,
Senegal,SEN,65.53036950,18.28628446,24.74572937,7.09604098,20.22384049,34.16734626,2.78981831,,,,,,,,,
Serbia,SRB,431.53366330,213.12481040,216.04792830,125.85161510,155.12313270,281.18261320,22.58439163,,,,,,,,,
Seychelles,SYC,145.38727570,59.44943925,56.03563427,33.60329479,51.04009753,81.71480582,5.88435220,,,,,,,,,
Sierra Leone,SLE,70.28972356,18.75320876,11.02587320,9.91885056,16.36108496,35.93649216,2.07525483,,,,,,,,,
Singapore,SGP,53.78106713,34.28173216,22.64826905,12.60940043,18.89894863,41.74003830,4.83333355,,,,,,,,,
Slovakia,SVK,284.01453300,165.58102220,95.39433897,64.63737243,117.28518550,235.38189370,19.27550769,,,,,,,,,
Slovenia,SVN,212.25318830,80.67482106,56.60163839,36.64719330,74.78020221,135.23632350,10.67633326,,,,,,,,,
Solomon Islands,SLB,139.47852650,101.45018500,102.65401080,91.94665873,99.20457807,152.41606430,7.43968889,,,,,,,,,
Somalia,SOM,52.00835924,11.68911149,11.16492019,7.25761852,6.63201323,35.55583477,0.49159913,,,,,,,,,
South Africa,ZAF,95.36387076,26.49324156,33.22821014,14.67915132,46.25672172,41.82924101,5.10860714,,,,,,,,,
South Sudan,SSD,44.95291045,10.06666791,9.94275360,5.62972499,15.83224223,22.62391985,0.56670452,,,,,,,,,
Spain,ESP,135.16054770,59.42447385,65.86068567,26.27022741,43.48408162,67.56251679,13.63496341,,,,,,,,,
Sri Lanka,LKA,119.66395880,58.74966805,62.34334573,18.29245911,31.60168195,76.10914294,4.62913147,,,,,,,,,
Sudan,SDN,116.11417640,49.50604256,50.97718685,24.47109917,47.80669898,70.64097987,19.95558293,,,,,,,,,
Suriname,SUR,120.30957710,58.91321022,73.17061013,38.93628737,64.40997140,75.70176863,11.47464225,,,,,,,,,
Sweden,SWE,177.37651450,92.09267213,73.83603517,41.59840919,49.81276464,115.27659420,14.74702299,,,,,,,,,
